DateTime , New SMT-A2 Sensor (9136/3) , New SMT-A2 Sensor (9136/4) , Internal Temperature (9136/5) , Internal RH (9136/6) , Battery (9136/7) , Temperature 4ft (9136/17) , PLY 2 - BOTTOM CORNER (9136/18) , PLY 6 - BOTTOM CORNER (9136/19) , PLY 1 - BOTTOM CORNER (9136/20) , PLY 7 - BOTTOM CORNER (9136/21) , PLY 5 - MIDDLE PANEL (9136/22) ," PLY 4 - EDGE BY HARDWARE - 2"" IN (9136/23) "," PLY 2 - EDGE BY HARDWARE - 6"" IN (9136/24) "
11/30/2017 0:00, NULL , NULL ,21.5393597,36.89,4208,21.38033694,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 1:00, NULL , NULL ,21.31516048,37.41,4208,21.13343356,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 2:00, NULL , NULL ,21.42392376,37.74,4216,21.27889252,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 3:00, NULL , NULL ,21.74625999,37.56,4208,21.6204213,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 4:00, NULL , NULL ,21.91206759,37.16,4208,21.79127837,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 5:00, NULL , NULL ,21.87487792,36.1,4208,21.76277011,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 6:00, NULL , NULL ,21.73464487,35.8,4208,21.60705191,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 7:00, NULL , NULL ,21.6261064,35.69,4208,21.49946781,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 8:00, NULL , NULL ,21.40574934,36.71,4208,21.20299115,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 9:00, NULL , NULL ,21.35282117,36.49,4216,21.19891102,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 10:00, NULL , NULL ,21.66545118,36.45,4216,21.53170668,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 11:00, NULL , NULL ,21.90272027,36.78,4208,21.82423042,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 12:00, NULL , NULL ,21.68440178,37.38,4216,21.51524744,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 13:00, NULL , NULL ,22.34631308,38.46,4216,22.39133151,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 14:00, NULL , NULL ,22.62543109,38.16,4216,22.48681018,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 15:00, NULL , NULL ,22.94075519,38.45,4216,22.8359732,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 16:00, NULL , NULL ,22.85282557,38.13,4216,22.66318555,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 17:00, NULL , NULL ,22.03044503,38.71,4216,21.79397978,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 18:00, NULL , NULL ,21.99505256,38.76,4216,21.86673732,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 19:00, NULL , NULL ,21.92567261,38.66,4216,21.80343804,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 20:00, NULL , NULL ,21.96075435,38.41,4216,21.85978689,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 21:00, NULL , NULL ,21.88098586,38.61,4216,21.76462426,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 22:00, NULL , NULL ,21.84166098,38.96,4216,21.71799318,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/30/2017 23:00, NULL , NULL ,21.83370508,39.02,4216,21.71614397,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
12/1/2017 0:00, NULL , NULL ,21.83268969,39.27,4224,21.72068329,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
12/1/2017 1:00, NULL , NULL ,21.83116672,39.37,4216,21.72623294,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
12/1/2017 2:00, NULL , NULL ,21.82389214,39.49,4216,21.7240465,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
